Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-my-ig.json	3751	-	0	0	0	0	0	0	6	154	0	0	0	0	0	0	0	1	0	0	103	96	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-data-access-roles.json	4181	29	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	36	3302	0	0	0	1	0	0
fsh-generated/resources/ValueSet-data-access-categories-vs.json	512	17	1	0	0	0	0	0	1	217	0	0	0	0	0	0	0	0	0	0	8	8346	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-data-access-categories.json	8011	28	0	0	0	0	0	0	2	27	0	0	0	0	0	0	0	0	0	0	56	220	0	0	0	1	0	0
fsh-generated/resources/ValueSet-data-read-roles-vs.json	458	19	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	8	170	0	0	0	1	0	0
fsh-generated/resources/Permission-AR1.json	814	18	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	8	32	0	0	0	0	0	0
