Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-my-ig.json	3751	-	0	0	0	0	0	0	12	77	0	0	0	0	0	0	0	8	0	0	101	67	0	0	1	2	0	1
fsh-generated/resources/CodeSystem-data-access-roles.json	4181	20	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	43	2239	0	0	0	1	0	0
fsh-generated/resources/ValueSet-data-access-categories-vs.json	512	13	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	6	6255	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-data-access-categories.json	8011	19	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	1	0	0	45	98	0	0	0	2	0	0
fsh-generated/resources/ValueSet-data-read-roles-vs.json	458	10	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	55	0	0	0	0	0	0
fsh-generated/resources/Permission-AR1.json	814	15	0	0	1	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	6	15	0	0	0	0	0	0
